gene_id	a160	a163	a169	a172
Mydgf	2836	2561	3391	3836
Cyb561	145	131	115	198
Sema6a	13	21	45	58
Ccdc12	7487	6581	7130	7851
Fmc1	758	720	1066	769
Akt3	193	167	139	270
Mrpl24	2319	2010	2585	3277
Gle1	876	656	878	1281
L3hypdh	29	32	26	1
Lyst	1574	1426	1036	2084
Slc35e1	470	578	687	1335
Calr3	10	5	16	6
Tmc4	99	79	121	80
Syne4	13	18	8	19
Polr2i	977	860	1183	1068
Prl8a1	60	61	76	80
Krt10	82	68	48	100
Rmnd1	728	592	621	858
Ccdc170	5	11	8	11
Esr1	37	26	39	35
Fbxo5	175	102	167	182
Mtrf1l	208	212	231	298
Rgs17	6	17	8	26
Hdac2	2628	2328	3208	5224
Frk	0	1	4	0
Rwdd1	2102	2002	2554	2836
Clvs2	2	4	21	14
Trdn	2	8	22	6
Hey2	4	1	0	0
Stxbp5	203	159	182	279
Hint3	1632	1199	1580	1477
Trmt11	454	414	526	520
Katna1	609	460	512	682
Pcmt1	1465	1349	1848	2260
Lrp11	6	6	6	16
Mtres1	244	182	282	273
Sec63	2055	1764	1796	2905
Snx3	11915	10207	14505	17564
Aig1	1026	951	874	1334
Adat2	78	89	107	57
Pex3	918	842	986	1330
Fuca2	4681	4340	5403	7876
Cep57l1	328	265	201	330
Ltv1	1282	1095	1458	2067
Plagl1	4	24	27	7
Cd164	1648	1637	1598	2628
Utrn	634	580	544	876
Smpd2	366	335	360	619
Mical1	1456	1343	1190	1905
Zbtb24	476	356	368	526
Grm1	4	6	6	9
Wasf1	7	2	2	0
Rab32	12468	10311	11792	18965
Gtf3c6	2380	2139	2657	2994
Slc16a10	85	72	75	60
Rev3l	413	277	298	588
Traf3ip2	369	334	193	349
Fyn	1928	1885	2069	3355
Tube1	44	61	53	112
Lama4	4	10	13	0
Prep	992	963	1128	1896
Tnfaip3	1426	1285	1179	2240
Perp	59	17	16	5
Arfgef3	27	28	16	6
Hebp2	44	40	72	85
Reps1	537	472	535	825
Fam184a	4	5	10	35
Asf1a	1157	920	1212	1366
Gopc	568	471	434	1179
Qrsl1	472	461	409	441
Rtn4ip1	249	230	270	385
Crybg1	1029	1016	740	1393
Gje1	0	3	1	8
Vta1	3552	3177	3635	4694
Smpdl3a	2789	2109	1423	2375
Reep3	1717	1516	1792	2692
Pkib	9292	9945	9821	12353
Serinc1	3622	3306	3377	4822
Hsf2	259	192	229	244
