gene_id	a161	a165	a170	a173
Fbxo9	459	540	593	770
Vps50	657	824	806	917
Hars	1057	1111	1296	1632
Zmat2	2726	2489	3071	3561
Ube2c	818	1036	795	974
Smg5	424	506	439	586
Cct3	3709	4202	4417	5679
Glmp	1677	1842	2432	2687
Mef2d	900	900	1056	1217
Tmem79	9	0	10	8
Snd1	1148	1366	1581	1819
Col18a1	4	7	4	5
Slc19a1	81	82	83	105
Kpnb1	583	553	491	670
Npepps	415	439	510	653
Tbx21	515	707	725	954
Mrpl10	862	909	976	1272
Cyp51	944	1049	757	1005
Tcf25	2860	2725	3390	4202
Tubb6	588	619	1311	1755
Def8	221	205	242	253
Pax9	15	3	1	3
Col1a1	5	1	2	3
Itga3	3	6	14	8
Foxm1	119	128	111	79
Itfg2	314	320	305	447
Nrip2	16	21	14	37
Tulp3	86	94	90	82
Gtf2h4	315	367	318	435
Tubb5	4394	5054	4580	5587
Ell2	870	898	1092	1461
Jup	326	353	813	911
Klhl10	8	11	9	1
Nom1	465	574	532	612
Ergic1	1111	1180	1482	1901
Tnk1	3	5	3	6
Acap1	1227	1643	1307	1398
Csn3	2	4	4	2
Ifrd1	9999	12516	17511	21978
Stk38l	811	876	927	1026
Brpf1	805	823	760	891
Akr1b3	4423	4653	4483	5519
Hoxc8	3	1	1	3
Hoxc6	1	0	8	5
Gstt1	75	58	354	403
Gstt3	336	376	682	630
Ddt	1064	839	1435	1637
Marveld3	1	7	2	0
Ddx18	1036	1218	1057	1374
Ubl3	5462	6003	9381	11444
Gramd3	946	1027	1330	1428
Eef1e1	1322	1468	1231	1469
Akt1	2054	2558	3195	3807
Cldn15	9	1	11	6
Il16	3252	3322	2728	3457
Tcirg1	1898	1845	1912	2590
Naglu	241	265	329	387
Coasy	350	378	461	575
Smo	32	43	69	110
Tspan33	1117	1408	1570	1652
Crnkl1	837	876	1083	1324
Rin2	1053	950	1461	1486
BC039771	1053	950	1461	1486
Chordc1	1931	2092	1796	2453
Rtcb	2065	2406	2514	2868
Pwp1	705	783	890	968
Fbxo7	594	601	700	752
Capns1	608	734	935	1198
Evx2	9	2	1	1
Folr1	1	2	2	3
Clpb	374	506	767	877
Septin7	6863	7156	7700	9679
Zdhhc4	767	836	907	1020
Rac1	11126	11945	13573	16541
Nup214	876	835	741	904
Aif1l	3	0	1	12
Cpa3	7	1	29	0
Ltbp1	5	5	6	11
Ugp2	963	1040	1584	1618
Kcnh6	3	2	0	3
Trmt1	420	341	401	522
Nacc1	219	206	276	313
Nfix	289	268	447	611
Slc1a5	1798	2168	2567	2880
Uba1	1635	1906	2041	2402
Vwf	94	101	86	108
Siae	538	614	552	635
Vsig2	26	17	10	6
Esam	1717	1874	1701	1714
Spa17	57	54	49	29
Fam50a	1733	1748	2091	2491
Emd	3208	2893	3748	5278
Taco1	113	120	102	143
Grik3	31	22	31	41
Gria3	129	97	223	201
Npas1	1	4	1	2
Sipa1l2	70	65	109	124
Ap4e1	199	180	217	245
Blvra	1198	1108	1643	1959
Pdzd4	11	19	8	25
Srpk3	7	1	13	8
Idh3g	4524	4615	5459	6635
Pnck	15	6	46	86
Ssr4	3472	3450	3652	5000
Bcap31	3994	4072	5415	6638
Fam98a	289	304	286	369
Ltbp2	63	61	57	64
Kmt2a	510	464	466	624
Ift46	310	428	374	419
Tmem25	23	22	34	52
Cd3g	29	16	40	11
Trappc6a	1115	1131	1564	1626
Supt6	720	614	640	632
Spag5	114	160	86	110
Foxn1	3	4	3	1
Unc119	1162	1318	462	598
Rab34	17	21	49	76
Sdf2	1441	1400	1505	1767
Ccne1	202	291	235	257
Hsf2bp	11	24	35	21
Bbc3	221	216	327	326
Mybpc3	26	33	18	33
Psmc3	3416	3743	4401	5260
Acp2	1176	1169	1623	1680
Rapsn	12	7	14	26
Slc39a13	297	335	423	443
Celf2	5105	4946	4375	5825
Nr1h3	303	247	549	734
Ddb2	535	529	572	713
Spi1	17630	19950	22903	26820
Sf3a1	744	788	849	1106
Stat6	2059	2332	2966	3428
Clgn	1	5	0	2
Napsa	28226	29046	28839	32998
Vrk3	1431	1720	1497	2133
Smg9	297	301	338	375
Paxip1	307	350	409	424
Rmnd5a	563	551	517	582
Mov10	208	220	299	323
Ppm1j	9	4	10	18
